25 20
#############
<<<<<<< HEAD
#...........#    ########
#...s...s...######......#
#.......................#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #########       ######
=======
#m..........#    ########
#...s.......######......#
#.........z..........g..#
#...........######...m..#
#.....s.....#    #......#
#...........#    #......#
#.s.........#    #.e....#
#####..######    ###..###
    #..#           #..#
    #e.#           #..#
    #..#         ###.z###
  ###..####      #......#
  #..m....#      #.g..m.#
  #.......#      #......#
  #s....a.#      #.z...e#
  #.......#      #......#
  #....g..#      #.a....#
  #.@.....#      #.....%#
  ##G######      ########
>>>>>>> repoOld/development
